1988 09     74.700 5.0  ppb SMO 
1988 10     78.040 5.0  ppb SMO 
1988 11     74.370 5.0  ppb SMO 
1988 12     67.110 5.0  ppb SMO 
1989 01     68.430 5.0  ppb SMO 
1989 02     68.380 5.0  ppb SMO 
1989 03     64.870 5.0  ppb SMO 
1989 04     66.120 5.0  ppb SMO 
1989 05     63.500 5.0  ppb SMO 
1989 06     58.020 5.0  ppb SMO 
1989 07     60.930 5.0  ppb SMO 
1989 08     62.210 5.0  ppb SMO 
1989 09     64.180 5.0  ppb SMO 
1989 10     68.880 5.0  ppb SMO 
1989 11     67.250 5.0  ppb SMO 
1989 12     62.100 5.0  ppb SMO 
1990 01     59.980 5.0  ppb SMO 
1990 02     59.830 5.0  ppb SMO 
1990 03     62.110 5.0  ppb SMO 
1990 04     64.550 5.0  ppb SMO 
1990 05     63.270 5.0  ppb SMO 
1990 06     61.750 5.0  ppb SMO 
1990 07     63.890 5.0  ppb SMO 
1990 08     68.270 5.0  ppb SMO 
1990 09     70.610 5.0  ppb SMO 
1990 10     70.420 5.0  ppb SMO 
1990 11     62.860 5.0  ppb SMO 
1990 12     58.140 5.0  ppb SMO 
1991 01     59.950 5.0  ppb SMO 
1991 02     59.850 5.0  ppb SMO 
1991 03     56.360 5.0  ppb SMO 
1991 04     54.790 5.0  ppb SMO 
1991 05     53.750 5.0  ppb SMO 
1991 06     52.600 5.0  ppb SMO 
1991 07     55.420 5.0  ppb SMO 
1991 08     60.610 5.0  ppb SMO 
1991 09     72.560 5.0  ppb SMO 
1991 10     75.210 5.0  ppb SMO 
1991 11     71.280 5.0  ppb SMO 
1991 12     67.030 5.0  ppb SMO 
1992 01     55.730 5.0  ppb SMO 
1992 02     49.720 5.0  ppb SMO 
1992 03     47.970 5.0  ppb SMO 
1992 04     48.800 5.0  ppb SMO 
1992 05     54.130 5.0  ppb SMO 
1992 06     57.350 5.0  ppb SMO 
1992 07     57.200 5.0  ppb SMO 
1992 08     57.740 5.0  ppb SMO 
1992 09     62.170 5.0  ppb SMO 
1992 10     63.370 5.0  ppb SMO 
1992 11     57.070 5.0  ppb SMO 
1992 12     51.830 5.0  ppb SMO 
1993 01     51.560 5.0  ppb SMO 
1993 02     54.790 5.0  ppb SMO 
1993 03     53.670 5.0  ppb SMO 
1993 04     50.520 5.0  ppb SMO 
1993 05     48.800 5.0  ppb SMO 
1993 06     50.320 5.0  ppb SMO 
1993 07     53.480 5.0  ppb SMO 
1993 08     56.040 5.0  ppb SMO 
1993 09     61.850 5.0  ppb SMO 
1993 10     67.590 5.0  ppb SMO 
1993 11     62.290 5.0  ppb SMO 
1993 12     55.400 5.0  ppb SMO 
1994 01     54.120 5.0  ppb SMO 
1994 02     55.020 5.0  ppb SMO 
1994 03     54.450 5.0  ppb SMO 
1994 04     51.680 5.0  ppb SMO 
1994 05     53.020 5.0  ppb SMO 
1994 06     54.860 5.0  ppb SMO 
1994 07     57.310 5.0  ppb SMO 
1994 08     60.520 5.0  ppb SMO 
1994 09     68.010 5.0  ppb SMO 
1994 10     75.240 5.0  ppb SMO 
1994 11     70.990 5.0  ppb SMO 
1994 12     61.810 5.0  ppb SMO 
1995 01     57.260 5.0  ppb SMO 
1995 02     56.870 5.0  ppb SMO 
1995 03     53.730 5.0  ppb SMO 
1995 04     53.050 5.0  ppb SMO 
1995 05     55.200 5.0  ppb SMO 
1995 06     55.310 5.0  ppb SMO 
1995 07     55.480 5.0  ppb SMO 
1995 08     59.230 5.0  ppb SMO 
1995 09     73.370 5.0  ppb SMO 
1995 10     78.030 5.0  ppb SMO 
1995 11     66.750 5.0  ppb SMO 
1995 12     58.950 5.0  ppb SMO 
1996 01     61.530 5.0  ppb SMO 
