1978 07     56.070      2.700 ALE 
1978 08     54.420      2.080 ALE 
1978 09     55.960      2.350 ALE 
1978 10     57.870      1.850 ALE 
1978 11     61.260      0.990 ALE 
1978 12     60.740      1.000 ALE 
1979 01     59.870      1.070 ALE 
1979 02     59.650      0.870 ALE 
1979 03     61.140      0.920 ALE 
1979 04     62.560      0.880 ALE 
1979 05     62.620      1.110 ALE 
1979 06     63.580      1.240 ALE 
1979 07     63.010      1.060 ALE 
1979 08     64.270      0.900 ALE 
1979 09     65.090      0.990 ALE 
1979 10     65.990      0.690 ALE 
1979 11     66.500      0.830 ALE 
1979 12     66.190      0.560 ALE 
1980 01     65.850      0.690 ALE 
1980 02     66.150      0.920 ALE 
1980 03     67.340      0.950 ALE 
1980 04     67.390      1.330 ALE 
1980 05     70.140      1.390 ALE 
1980 06     70.710      1.260 ALE 
1980 07     71.440      0.950 ALE 
1980 08     72.480      0.890 ALE 
1980 09     73.480      0.630 ALE 
1980 10     74.120      0.760 ALE 
1980 11     73.810      0.920 ALE 
1980 12     73.030      0.500 ALE 
1981 01     72.940      0.530 ALE 
1981 02     73.210      0.530 ALE 
1981 03     74.370      0.730 ALE 
1981 04     75.230      0.550 ALE 
1981 05     75.690      0.710 ALE 
1981 06     76.280      0.910 ALE 
1981 07     76.120      0.800 ALE 
1981 09     76.520      1.590 ALE 
1981 10     78.240      2.180 ALE 
1981 11     78.790      1.030 ALE 
1981 12     78.010      0.820 ALE 
1982 01     77.840      0.920 ALE 
1982 02     77.850      0.990 ALE 
1982 03     78.580      1.070 ALE 
1982 04     79.800      0.960 ALE 
1982 05     81.480      1.070 ALE 
1982 06     82.640      0.690 ALE 
1982 07     83.440      0.670 ALE 
1982 08     84.090      0.810 ALE 
1982 09     84.240      0.530 ALE 
1982 10     85.010      0.720 ALE 
1982 11     85.130      0.680 ALE 
1982 12     84.330      0.780 ALE 
1983 01     83.910      0.590 ALE 
1983 02     83.960      0.900 ALE 
1983 03     84.120      0.820 ALE 
1983 04     84.370      0.730 ALE 
1983 05     85.290      0.940 ALE 
1983 06     85.900      0.820 ALE 
1983 07     87.100      0.970 ALE 
1983 08     87.530      0.990 ALE 
1983 09     87.250      0.800 ALE 
1983 10     87.560      0.650 ALE 
1983 11     87.450      0.770 ALE 
1983 12     86.580      0.810 ALE 
1984 01     86.120      0.620 ALE 
1984 02     86.300      0.620 ALE 
1984 03     86.790      0.540 ALE 
1984 04     87.160      0.690 ALE 
1984 10     93.030      0.600 ALE 
1984 11     92.390      0.840 ALE 
1984 12     91.590      0.710 ALE 
1985 01     91.040      1.000 ALE 
1985 02     90.680      0.690 ALE 
1985 03     91.190      0.920 ALE 
1985 04     92.780      0.900 ALE 
1985 05     93.770      1.060 ALE 
1985 06     94.250      0.950 ALE 
1981 12     80.720      0.380 GAGE 
1982 01     80.130      0.390 GAGE 
1982 02     79.970      0.310 GAGE 
1982 03     79.980      0.530 GAGE 
1982 04     80.610      0.660 GAGE 
1982 05     81.930      0.510 GAGE 
1982 06     82.720      0.460 GAGE 
1982 07     83.090      0.490 GAGE 
1982 08     84.000      0.580 GAGE 
1982 09     84.250      0.370 GAGE 
1982 10     83.840      0.410 GAGE 
1982 11     83.470      0.300 GAGE 
1982 12     83.090      0.250 GAGE 
1983 01     82.520      0.260 GAGE 
1983 02     82.930      0.660 GAGE 
1983 03     84.380      0.360 GAGE 
1983 04     85.070      0.510 GAGE 
1983 05     85.800      0.390 GAGE 
1983 06     86.380      0.380 GAGE 
1983 07     86.910      0.420 GAGE 
1983 08     87.800      0.400 GAGE 
1983 09     88.010      0.340 GAGE 
1983 10     88.170      0.250 GAGE 
1983 11     87.960      0.290 GAGE 
1983 12     87.460      0.240 GAGE 
1984 01     86.780      0.320 GAGE 
1984 02     86.350      0.220 GAGE 
1984 03     86.840      0.470 GAGE 
1984 04     87.440      0.420 GAGE 
1984 05     88.050      0.590 GAGE 
1984 06     89.070      0.500 GAGE 
1984 07     89.810      0.490 GAGE 
1984 08     90.820      0.520 GAGE 
1984 09     91.270      0.450 GAGE 
1984 10     90.920      0.460 GAGE 
1984 11     90.810      0.470 GAGE 
1984 12     90.410      0.460 GAGE 
1985 01     89.630      0.350 GAGE 
1985 02     89.420      0.310 GAGE 
1985 03     90.080      0.440 GAGE 
1985 04     91.440      0.620 GAGE 
1985 05     92.210      0.460 GAGE 
1985 06     92.650      0.520 GAGE 
1985 07     93.440      0.530 GAGE 
1985 08     95.340      0.810 GAGE 
1985 09     96.310      0.570 GAGE 
