1979 12    100.850      4.400 ALE 
1980 01    104.330      3.960 ALE 
1980 03    101.210      1.600 ALE 
1980 04    102.830      1.370 ALE 
1980 05    103.180      1.480 ALE 
1980 06    101.390      1.940 ALE 
1980 07     98.690      2.370 ALE 
1980 08     99.300      1.990 ALE 
1980 09    100.730      2.920 ALE 
1980 10    105.890      3.500 ALE 
1980 11    104.780      2.820 ALE 
1980 12    104.640      3.620 ALE 
1981 01    104.680      2.570 ALE 
1981 02    104.770      3.000 ALE 
1981 03    104.730      2.000 ALE 
1981 04    105.400      1.840 ALE 
1981 05    106.460      2.510 ALE 
1981 06    106.630      1.860 ALE 
1981 07    103.230      2.880 ALE 
1981 08    103.070      2.470 ALE 
1981 09    105.880      2.710 ALE 
1981 10    107.140      2.680 ALE 
1981 11    109.750      1.970 ALE 
1981 12    110.820      1.950 ALE 
1982 01    109.980      1.200 ALE 
1982 02    110.770      2.400 ALE 
1982 03    111.680      2.080 ALE 
1982 04    114.060      1.710 ALE 
1982 05    113.490      1.430 ALE 
1982 06    111.810      1.760 ALE 
1982 07    110.510      2.270 ALE 
1982 08    107.040      2.310 ALE 
1982 09    108.100      3.900 ALE 
1982 10    110.450      2.660 ALE 
1982 11    111.060      1.880 ALE 
1982 12    113.270      1.660 ALE 
1983 01    111.420      2.270 ALE 
1983 02    112.370      1.630 ALE 
1983 03    114.500      1.720 ALE 
1983 04    115.940      1.620 ALE 
1983 05    115.630      1.870 ALE 
1983 06    115.320      1.570 ALE 
1983 07    113.950      1.420 ALE 
1983 08    111.660      2.200 ALE 
1983 09    112.480      2.010 ALE 
1983 10    114.830      1.630 ALE 
1983 11    117.540      1.720 ALE 
1983 12    120.560      1.710 ALE 
1984 02    120.830      1.350 ALE 
1984 03    121.020      1.230 ALE 
1984 04    122.480      1.070 ALE 
1984 05    122.560      1.280 ALE 
1984 06    122.460      1.590 ALE 
1984 07    119.730      2.190 ALE 
1983 09    110.820      2.390 GAGE 
1983 10    114.660      1.920 GAGE 
1983 11    115.670      1.780 GAGE 
1983 12    120.300      2.040 GAGE 
1984 01    117.850      0.520 GAGE 
1984 02    120.420      1.920 GAGE 
1984 03    120.630      1.960 GAGE 
1984 04    122.650      0.740 GAGE 
1984 05    122.850      0.970 GAGE 
1984 06    122.350      1.220 GAGE 
1984 07    120.110      2.230 GAGE 
1984 08    116.310      1.850 GAGE 
1984 09    117.290      2.370 GAGE 
1984 10    120.420      1.520 GAGE 
1984 11    121.870      1.260 GAGE 
1984 12    123.610      1.410 GAGE 
1985 01    123.470      1.950 GAGE 
1985 02    122.950      1.480 GAGE 
1985 03    124.640      1.010 GAGE 
1985 04    125.440      1.780 GAGE 
1985 05    125.240      1.280 GAGE 
1985 06    124.310      1.280 GAGE 
1985 07    122.090      2.390 GAGE 
1985 08    121.800      2.020 GAGE 
1985 09    123.710      3.240 GAGE 
1985 10    125.360      2.280 GAGE 
1985 11    127.760      2.420 GAGE 
1985 12    127.650      2.350 GAGE 
1986 01    126.270      1.920 GAGE 
1986 02    126.600      1.860 GAGE 
1986 03    128.710      1.800 GAGE 
1986 04    132.000      1.220 GAGE 
1986 05    132.330      1.210 GAGE 
1986 06    131.890      1.840 GAGE 
1986 07    125.260      3.270 GAGE 
1986 08    121.250      4.130 GAGE 
1986 09    124.100      3.260 GAGE 
1986 10    127.740      3.160 GAGE 
1986 11    131.540      2.030 GAGE 
1986 12    133.660      2.570 GAGE 
1987 01    134.130      2.230 GAGE 
1987 02    132.570      1.680 GAGE 
1987 03    131.690      1.820 GAGE 
1987 04    134.120      1.960 GAGE 
1987 05    134.710      2.280 GAGE 
1987 06    137.660      2.760 GAGE 
1987 07    133.730      1.790 GAGE 
1987 08    129.670      2.690 GAGE 
1987 09    132.360      3.570 GAGE 
1987 10    137.440      2.590 GAGE 
1987 11    138.210      1.790 GAGE 
1987 12    139.940      1.720 GAGE 
1988 01    139.480      2.240 GAGE 
1988 02    139.660      2.210 GAGE 
1988 03    140.520      2.460 GAGE 
1988 04    142.560      1.770 GAGE 
1988 05    142.990      1.530 GAGE 
1988 06    143.230      1.800 GAGE 
1988 07    140.470      3.280 GAGE 
1988 08    135.850      2.350 GAGE 
1988 09    136.110      1.820 GAGE 
1988 10    138.380      2.070 GAGE 
1988 11    140.360      1.330 GAGE 
1988 12    142.370      2.150 GAGE 
1989 01    139.340      2.510 GAGE 
1989 02    140.510      1.910 GAGE 
1989 03    140.840      2.080 GAGE 
1989 04    143.340      2.910 GAGE 
1989 05    144.210      1.910 GAGE 
1989 06    143.880      1.670 GAGE 
1995 10    104.610      1.080 GAGE 
1995 11    103.540      1.070 GAGE 
1995 12    102.370      1.250 GAGE 
1996 01    101.740      1.150 GAGE 
1996 02    101.420      0.970 GAGE 
1996 03    100.540      1.140 GAGE 
1996 04     99.330      1.020 GAGE 
1996 05     98.310      0.850 GAGE 
1996 06     96.670      1.110 GAGE 
1996 07     93.230      1.690 GAGE 
1996 08     90.730      1.230 GAGE 
1996 09     89.730      0.770 GAGE 
1996 10     88.550      0.830 GAGE 
1996 11     87.900      0.790 GAGE 
1996 12     86.660      0.820 GAGE 
1997 01     85.800      0.630 GAGE 
1997 02     85.070      0.600 GAGE 
1997 03     84.700      0.800 GAGE 
1997 04     83.460      1.040 GAGE 
1997 05     82.060      1.600 GAGE 
1997 06     80.170      0.670 GAGE 
1997 07     78.130      1.130 GAGE 
1997 08     75.920      0.890 GAGE 
1997 09     74.970      0.590 GAGE 
1997 10     74.170      0.580 GAGE 
1997 11     73.210      0.570 GAGE 
1997 12     72.780      0.450 GAGE 
1998 01     72.180      0.580 GAGE 
1998 02     71.650      0.470 GAGE 
1998 03     70.640      0.570 GAGE 
1998 04     69.990      0.480 GAGE 
1998 05     68.720      0.560 GAGE 
1998 06     66.920      0.680 GAGE 
1998 07     64.240      0.880 GAGE 
1998 08     63.190      0.630 GAGE 
1998 09     62.350      0.460 GAGE 
1998 10     61.790      0.370 GAGE 
1998 11     61.260      0.420 GAGE 
1998 12     60.690      0.460 GAGE 
1999 01     60.070      0.370 GAGE 
1999 02     59.680      0.400 GAGE 
1999 03     59.120      0.330 GAGE 
1999 04     58.490      0.500 GAGE 
1999 05     57.370      0.500 GAGE 
1999 06     55.860      0.670 GAGE 
1999 07     54.010      0.810 GAGE 
1999 08     52.420      0.480 GAGE 
1999 09     52.080      0.440 GAGE 
1999 10     51.270      0.470 GAGE 
1999 11     50.750      0.380 GAGE 
1999 12     50.270      0.470 GAGE 
2000 01     49.730      0.420 GAGE 
2000 02     49.390      0.400 GAGE 
2000 03     49.350      0.350 GAGE 
2000 04     48.610      0.430 GAGE 
2000 05     47.820      0.590 GAGE 
