1978 07     58.100      2.330 ALE 
1978 08     58.900      2.770 ALE 
1978 09     59.110      2.330 ALE 
1978 10     60.650      2.370 ALE 
1978 11     60.940      3.410 ALE 
1978 12     61.260      4.140 ALE 
1979 01     63.720      2.650 ALE 
1979 02     61.960      2.950 ALE 
1979 03     62.570      2.390 ALE 
1979 04     62.290      2.730 ALE 
1979 05     63.660      1.610 ALE 
1979 06     64.100      0.590 ALE 
1979 07     65.080      0.900 ALE 
1979 08     66.330      1.360 ALE 
1979 09     66.390      1.580 ALE 
1979 10     67.840      1.420 ALE 
1979 11     69.560      1.390 ALE 
1979 12     65.140      3.810 ALE 
1980 01     68.600      1.980 ALE 
1980 02     70.480      2.100 ALE 
1980 03     70.820      2.180 ALE 
1980 04     71.160      2.560 ALE 
1980 05     72.080      1.480 ALE 
1980 06     72.840      0.970 ALE 
1980 07     73.920      0.690 ALE 
1980 08     74.870      0.840 ALE 
1980 09     75.210      1.300 ALE 
1980 10     75.530      0.840 ALE 
1980 11     76.990      1.490 ALE 
1980 12     78.490      2.450 ALE 
1981 01     79.010      2.610 ALE 
1981 03     79.870      1.340 ALE 
1981 04     78.590      1.570 ALE 
1981 05     78.340      1.930 ALE 
1981 06     79.590      1.240 ALE 
1981 07     79.550      1.420 ALE 
1981 08     81.200      0.850 ALE 
1981 09     81.920      1.460 ALE 
1981 10     79.900      1.110 ALE 
1981 11     79.980      1.340 ALE 
1981 12     80.710      1.860 ALE 
1982 01     81.260      1.960 ALE 
1982 02     83.210      2.200 ALE 
1982 03     81.660      0.860 ALE 
1982 06     82.770      1.220 ALE 
1982 07     82.410      1.280 ALE 
1982 08     83.450      1.370 ALE 
1982 09     83.500      1.100 ALE 
1982 10     83.380      0.760 ALE 
1982 11     83.200      1.230 ALE 
1982 12     82.560      0.930 ALE 
1983 01     83.560      2.320 ALE 
1983 02     83.150      0.970 ALE 
1983 03     85.040      2.430 ALE 
1983 04     84.540      1.000 ALE 
1983 05     85.480      1.010 ALE 
1983 06     86.520      0.860 ALE 
1983 07     87.020      0.870 ALE 
1983 08     87.270      0.820 ALE 
1983 09     88.410      0.790 ALE 
1983 10     87.900      0.810 ALE 
1983 11     87.130      1.030 ALE 
1983 12     89.160      1.480 ALE 
1984 01     91.150      1.960 ALE 
1984 02     92.030      2.040 ALE 
1984 03     93.480      4.460 ALE 
1984 04     91.440      2.920 ALE 
1984 05     89.110      1.080 ALE 
1984 06     90.110      1.250 ALE 
1984 07     90.650      1.160 ALE 
1984 08     91.720      0.820 ALE 
1984 09     92.530      1.340 ALE 
1984 10     91.970      1.190 ALE 
1984 11     92.740      1.930 ALE 
1984 12     94.460      2.430 ALE 
1985 01     95.150      4.610 ALE 
1985 02     95.740      1.910 ALE 
1985 03     95.070      2.350 ALE 
1985 04     94.560      1.590 ALE 
1985 05     95.380      2.320 ALE 
1985 06     95.180      1.510 ALE 
1985 07     95.480      0.990 ALE 
1985 08     95.660      0.950 ALE 
1985 09     95.890      0.590 ALE 
1985 11     95.860      1.100 ALE 
1985 12     97.730      1.700 ALE 
1986 01     99.960      3.330 ALE 
1986 02    101.370      3.140 ALE 
1986 03     98.260      1.760 ALE 
1986 04     99.440      2.810 ALE 
1986 05     98.540      1.680 ALE 
1985 07     96.260      0.680 GAGE 
1985 08     95.830      0.780 GAGE 
1985 09     95.770      0.540 GAGE 
1985 10     95.530      0.950 GAGE 
1985 11     94.500      1.130 GAGE 
1985 12     95.840      1.540 GAGE 
1986 01     98.000      3.440 GAGE 
1986 02     98.830      3.490 GAGE 
1986 03     95.480      1.550 GAGE 
1986 04     97.260      2.730 GAGE 
1986 05     96.000      1.550 GAGE 
1986 06     97.240      1.360 GAGE 
1986 07     97.670      1.130 GAGE 
1986 08     97.490      0.750 GAGE 
1986 09     98.780      1.010 GAGE 
1986 10     98.050      0.870 GAGE 
1986 11     97.170      1.070 GAGE 
1986 12     97.540      2.510 GAGE 
1987 01     96.500      0.960 GAGE 
1987 03     99.400      1.260 GAGE 
1987 04    100.860      1.300 GAGE 
1987 05    100.510      1.480 GAGE 
